company,topic,count,topic_label
Unknown,0,3020,0_transmit_radio_monitoring_frequency
Unknown,1,46,1_sensors detecting_lidar_detecting_onboard sensors
Unknown,2,29,2_navigation application_map_maps_mapping
Unknown,3,28,3_solar panel_solar panels_solar power_solar energy
Unknown,4,28,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
Unknown,5,21,5_fuel cell_fuel cells_cell fuel_provide fuel
Unknown,6,21,6_sem fio_digital_para_fio
Unknown,7,20,7_automated fabrication_manufacturing process_machining_fabrication
Unknown,8,15,8_propeller blades_propellers_propellers aerial_generated propeller
Unknown,9,14,9_layer material_forming layer_melt material_alloy
Unknown,10,13,10_vorrichtung_verfahren zum_und_einer
Unknown,11,12,11_radar_second radar_gesture application_gestures
Unknown,12,11,12_second robotic_robotic_robotic robotic_robotic control
Unknown,13,10,13_tethered aerial_energy aerial_wind turbine_wind energy
Unknown,14,10,14_classifier_prediction using_machine learned_prediction model
Unknown,15,9,15_uav charge_vehicles uavs_battery uav_vehicle uav
Unknown,16,8,16_neural programs_trained neural_deep neural_learning models
Unknown,17,8,17_audio receiver_audio recording_audio input_integrated audio
Unknown,18,8,18_propellers aerial_rotor blades_blades aerial_generated aerial
Unknown,19,8,19_nfc enabled_field nfc_low power_nfc
Unknown,20,8,20_operating voltages_operating voltage_voltage control_voltage adjustment
Unknown,21,8,21_controlling lighting_lighting_lighting source_controlled power
Unknown,22,8,22_magnetically attached_magnetic_detect magnetic_magnetically
