lens_id,company,year,title,abstract,cpc_climate_codes,n_climate_codes,abstract_clean,topic
119-785-450-234-305,Alphabet,2025,"Future prediction, using stochastic adversarial based sampling, for robotic control and/or other purpose(s)","Future prediction, using stochastic adversarial based sampling, for robotic control and/or other purpose(s). Techniques are disclosed that enable the generation of predicted sequences of terminals using a generator model portion of a prediction model. Various implementations include controlling actuators of a robot based on the predicted sequences of terminals. Additional or alternative implementations include jointly training the generator model portion of the prediction model using a discriminator model portion of the prediction model using, for example, stochastic adversarial based sampling",Y02P90/02,1,"Future prediction, using stochastic adversarial based sampling, for robotic control and/or other purpose(s). Techniques are disclosed that enable the generation of predicted sequences of terminals using a generator model portion of a prediction model. Various implementations include controlling actuators of a robot based on the predicted sequences of terminals. Additional or alternative implementations include jointly training the generator model portion of the prediction model using a discriminator model portion of the prediction model using, for example, stochastic adversarial based sampling",16
192-522-304-016-804,Alphabet,2024,METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK,"METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK. A user equipment (UE) communicating with a non-terrestrial network (NTN) node can implement a method for managing paging for the UE from a core network (CN). The method includes: (i) receiving, from the CN and at the UE, a downlink message including NTN time information associated with reachability; (ii) starting, at the UE, a timer with a time duration based on the NTN time information; and (iii) suspending, at the UE, monitoring paging for the UE while the timer is running",Y02D30/70,1,"METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK. A user equipment (UE) communicating with a non-terrestrial network (NTN) node can implement a method for managing paging for the UE from a core network (CN). : (i) receiving, from the CN and at the UE, a downlink message including NTN time information associated with reachability; (ii) starting, at the UE, a timer with a time duration based on the NTN time information; and (iii) suspending, at the UE, monitoring paging for the UE while the timer is running",0
040-353-677-120-026,Alphabet,2023,HOTWORD RECOGNITION AND PASSIVE ASSISTANCE,HOTWORD RECOGNITION AND PASSIVE ASSISTANCE,Y02D30/70; Y02D30/70,2,HOTWORD RECOGNITION AND PASSIVE ASSISTANCE,15
111-639-940-653-995,Alphabet,2025,POWER EFFICIENT DATA ROUTING,"POWER EFFICIENT DATA ROUTING. In one example, a method for power efficient data routing comprises determining, by a computing device comprising a plurality of radios, one or more signal conditions for each of the plurality of radios, determining, by the computing device, an amount of data the computing device is predicted to transfer within a particular period of time, the amount of data being a predicted amount of data, determining, by the computing device and based on the one or more signal conditions for each of the plurality of radios and the predicted amount of data, a power cost for each of the plurality of radios, selecting, by the computing device, a selected radio from the plurality of radios based on the power cost for each of the plurality of radios, and transferring, by the computing device and using the selected radio, data between the computing device and a remote device",Y02D30/70,1,"POWER EFFICIENT DATA ROUTING. In one example, a method for power efficient data routing determining, by a computing device radios, one or more signal conditions for each of radios, determining, by the computing device, an amount of data the computing device is predicted to transfer within a particular period of time, the amount of data being a predicted amount of data, determining, by the computing device and based on the one or more signal conditions for each of radios and the predicted amount of data, a power cost for each of radios, selecting, by the computing device, a selected radio from radios based on the power cost for each of radios, and transferring, by the computing device and using the selected radio, data between the computing device and a remote device",-1
061-094-906-110-621,Alphabet,2024,ENHANCED CELL RESELECTION PROCEDURE SUPPORTING NETWORK ENERGY SAVING,"ENHANCED CELL RESELECTION PROCEDURE SUPPORTING NETWORK ENERGY SAVING. To perform cell reselection, a user equipment (UE) receives (1806), from a radio access network (RAN), a network energy saving (NES) offset value corresponding to an adjustment in a signal measurement quantity for the cell reselection; performs (1816), in an idle state of a radio connection between the UE and the RAN, measurements on a plurality of candidate cells; and performs (1818) the cell reselection based on the measurements and the offset value",Y02D30/70,1,"ENHANCED CELL RESELECTION PROCEDURE SUPPORTING NETWORK ENERGY SAVING. To perform cell reselection, a user equipment (UE) receives (1806), from a radio access network (RAN), a network energy saving (NES) offset value corresponding to an adjustment in a signal measurement quantity for the cell reselection; performs (1816), in an idle state of a radio connection between the UE and the RAN, measurements on candidate cells; and performs (1818) the cell reselection based on the measurements and the offset value",0
180-875-567-190-191,Alphabet,2024,MANAGING DATA COMMUNICATION FOR POWER SAVING,"MANAGING DATA COMMUNICATION FOR POWER SAVING. A method (1800) communicating downlink data packets between a core network (CN) and a user equipment (UE) is implemented in the RAN. The method comprises communicating (1802), between the CN and the UE, the data packets; receiving (1856), from the CN, an indication of an end of a data burst that includes the data packets; and transmitting, (1890) to the UE and in response to the receiving of the indication, a command related to a power saving mode",Y02D30/70,1,"MANAGING DATA COMMUNICATION FOR POWER SAVING. A method (1800) communicating downlink data packets between a core network (CN) and a user equipment (UE) is implemented in the RAN. communicating (1802), between the CN and the UE, the data packets; receiving (1856), from the CN, an indication of an end of a data burst that includes the data packets; and transmitting, (1890) to the UE and in response to the receiving of the indication, a command related to a power saving mode",-1
121-787-837-235-514,Alphabet,2022,"Hardware circuit and method for multiplying sets of inputs, and non-transitory machine-readable storage device","Hardware circuit and method for multiplying sets of inputs, and non-transitory machine-readable storage device",Y02D10/00; Y02D10/00,2,"Hardware circuit and method for multiplying sets of inputs, and non-transitory machine-readable storage device",19
109-844-332-551-478,Alphabet,2025,Low H-Field Tab Configuration for a Cylindrical-Winding Battery,"Low H-Field Tab Configuration for a Cylindrical-Winding Battery. The present document describes a low magnetic field (H-field) tab configuration for a cylindrical-winding battery. The battery design is a rolled and stacked battery, with two or more winding rolls of cathode and anode layers separated by insulation layers, the winding rolls also being separated by a distance with the distance, in some embodiments, filled with a dielectric material. A first tab is electrically connected to a first layer of the plurality of layers, the first layer having a first polarity. A second tab electrically connected to a second layer of the plurality of layers, the second layer having an opposite polarity to the first layer. The second tab is configured to at least partially overlap a portion of the first tab. The tab configuration causes the battery to produce a reduced H-field when compared with a battery having non-overlapping tabs",Y02E60/10,1,"Low H-Field Tab Configuration for a Cylindrical-Winding Battery. The present document describes a low magnetic field (H-field) tab configuration for a cylindrical-winding battery. The battery design is a rolled and stacked battery, with two or more winding rolls of cathode and anode layers separated by insulation layers, the winding rolls also being separated by a distance with the distance, , filled with a dielectric material. A first tab is electrically connected to a first layer of layers, the first layer having a first polarity. A second tab electrically connected to a second layer of layers, the second layer having an opposite polarity to the first layer. The second tab is at least partially overlap a portion of the first tab. The tab configuration causes the battery to produce a reduced H-field when compared with a battery having non-overlapping tabs",2
019-844-301-845-227,Alphabet,2024,Thread over internet protocol,"Thread over internet protocol. Techniques and devices for determining a preferred physical layer for communication by a node in a Thread network are described. The node transmits a first IPv6 over Low power Wireless Personal Area Networks, 6LoWPAN, frame to a neighbor node using a first physical layer (502) and transmits the first 6LoWPAN frame to the neighbor node using a second physical layer (504). The node determines a first preference value for the neighbor node using the first physical layer (506) and determines a second preference value for the neighbor node using the second physical layer (508). The node compares the first preference value and the second preference value to determine the preferred physical layer for communication (510) and transmits a second 6LoWPAN frame to the neighbor node using the preferred physical layer (512)",Y02D30/70,1,"Thread over internet protocol. Techniques and devices for determining a preferred physical layer for communication by a node in a Thread network are described. The node transmits a first IPv6 over Low power Wireless Personal Area Networks, 6LoWPAN, frame to a neighbor node using a first physical layer (502) and transmits the first 6LoWPAN frame to the neighbor node using a second physical layer (504). The node determines a first preference value for the neighbor node using the first physical layer (506) and determines a second preference value for the neighbor node using the second physical layer (508). The node compares the first preference value and the second preference value to determine the preferred physical layer for communication (510) and transmits a second 6LoWPAN frame to the neighbor node using the preferred physical layer (512)",-1
109-123-980-833-334,Alphabet,2022,Using mobile data to improve weather information,"Using mobile data to improve weather information. A system (100) for using mobile data to improve weather information is provided. The system (100) includes a weather prediction station (120) configured to receive stationary observation data provided by a plurality of stationary weather stations (110) along with data from a plurality of input weather models (115) and generate unified weather model estimates based on the stationary observation data, the input weather model data, and a processor (130). The processor (130) is configured to aggregate mobile observation data provided by a plurality of non-stationary sensors (140) and use the aggregated mobile observation data to adjust the weather model estimates",Y02A90/10; Y02A90/10; Y02A90/10,3,"Using mobile data to improve weather information. A system (100) for using mobile data to improve weather information is provided. The system (100) includes a weather prediction station (120) receive stationary observation data provided by stationary weather stations (110) along with data from input weather models (115) and generate unified weather model estimates based on the stationary observation data, the input weather model data, and a processor (130). The processor (130) is aggregate mobile observation data provided by non-stationary sensors (140) and use the aggregated mobile observation data to adjust the weather model estimates",3
