topic,Y02A,Y02B,Y02C,Y02D,Y02E,Y02P,Y02T,Y02W,Y04S,TOTAL_PATENTS
-1,0.8,6.1,0.0,67.9,18.6,8.3,4.9,0.6,3.2,1105
0,0.5,9.3,0.1,69.9,17.5,5.4,1.6,0.2,3.3,3020
1,34.8,4.3,0.0,2.2,0.0,34.8,23.9,0.0,4.3,46
2,6.9,0.0,0.0,72.4,0.0,6.9,13.8,0.0,0.0,29
3,0.0,7.1,0.0,0.0,85.7,3.6,7.1,3.6,3.6,28
4,0.0,7.1,0.0,0.0,57.1,3.6,60.7,0.0,3.6,28
5,4.8,52.4,0.0,14.3,85.7,9.5,4.8,0.0,0.0,21
6,0.0,4.8,0.0,95.2,0.0,0.0,0.0,0.0,0.0,21
7,0.0,0.0,0.0,5.0,0.0,90.0,5.0,0.0,0.0,20
8,0.0,0.0,0.0,0.0,6.7,0.0,100.0,0.0,0.0,15
9,0.0,0.0,0.0,0.0,28.6,71.4,0.0,0.0,0.0,14
10,0.0,7.7,0.0,76.9,15.4,0.0,0.0,0.0,0.0,13
11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12
12,0.0,0.0,0.0,9.1,0.0,90.9,0.0,0.0,0.0,11
13,0.0,0.0,0.0,0.0,90.0,20.0,10.0,0.0,0.0,10
14,80.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,10
15,0.0,0.0,0.0,0.0,0.0,11.1,100.0,0.0,11.1,9
16,12.5,0.0,0.0,12.5,0.0,25.0,25.0,0.0,25.0,8
17,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8
18,0.0,0.0,0.0,0.0,12.5,0.0,87.5,0.0,0.0,8
19,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8
20,0.0,12.5,0.0,87.5,0.0,0.0,0.0,0.0,0.0,8
21,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8
22,0.0,12.5,0.0,75.0,0.0,12.5,0.0,0.0,0.0,8
