company,year,topic,count,topic_label
Alphabet,2010,10,1,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2011,1,1,1_power management_power consumption_power mode_throttling
Alphabet,2011,3,1,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2011,6,1,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2011,10,1,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2011,15,1,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2011,18,1,18_printed boards_printed board_electrically_conductive layers
Alphabet,2011,29,1,29_energy usage_consumption hardware_energy utilization_power consumption
Alphabet,2011,30,1,30_mapping navigation_navigation application_map_maps
Alphabet,2011,31,2,31_connection managing_background connections_cellular telephone_communicate cellular
Alphabet,2012,0,2,0_radio access_transmit_transmitting_radio resource
Alphabet,2012,1,10,1_power management_power consumption_power mode_throttling
Alphabet,2012,3,8,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2012,4,1,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2012,6,3,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2012,8,1,8_battery management_battery operation_dynamic battery_battery charging
Alphabet,2012,10,1,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2012,15,1,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2012,22,2,22_protocols_routing_multi hop_packet core
Alphabet,2012,27,2,27_display processing_image display_processing display_managing display
Alphabet,2012,31,1,31_connection managing_background connections_cellular telephone_communicate cellular
Alphabet,2012,34,1,34_film transistors_film transistor_pixels_transistors
Alphabet,2013,0,2,0_radio access_transmit_transmitting_radio resource
Alphabet,2013,1,11,1_power management_power consumption_power mode_throttling
Alphabet,2013,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2013,3,10,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2013,4,1,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2013,6,2,6_memory management_memory banks_memory controller_memory blocks
Alphabet,2013,10,1,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2013,21,1,21_resource control_resource management_resource service_resource usage
Alphabet,2013,22,1,22_protocols_routing_multi hop_packet core
Alphabet,2013,24,1,24_messages processing_processing core_processing cores_chip architecture
Alphabet,2013,31,2,31_connection managing_background connections_cellular telephone_communicate cellular
Alphabet,2013,35,1,35_backup power_power grid_grid power_power main
Alphabet,2014,1,9,1_power management_power consumption_power mode_throttling
Alphabet,2014,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2014,3,6,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2014,4,2,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2014,5,1,5_boost converter_power converters_power converter_converters
Alphabet,2014,10,2,10_packet processing_tcp_datagram protocol_protocol
Alphabet,2014,18,1,18_printed boards_printed board_electrically_conductive layers
Alphabet,2014,19,1,19_storage control_storage controller_storage power_state storage
Alphabet,2014,22,1,22_protocols_routing_multi hop_packet core
Alphabet,2014,25,1,25_resource management_datacenter power_datacenter_physical resource
Alphabet,2014,29,1,29_energy usage_consumption hardware_energy utilization_power consumption
Alphabet,2014,31,1,31_connection managing_background connections_cellular telephone_communicate cellular
Alphabet,2014,33,1,33_fuel cell_fuel cells_cell fuel_power controller
Alphabet,2015,0,6,0_radio access_transmit_transmitting_radio resource
Alphabet,2015,1,25,1_power management_power consumption_power mode_throttling
Alphabet,2015,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Alphabet,2015,3,28,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Alphabet,2015,4,5,4_cooling_thermal control_liquid cooling_thermal management
Alphabet,2015,5,1,5_boost converter_power converters_power converter_converters
Alphabet,2015,8,2,8_battery management_battery operation_dynamic battery_battery charging
Alphabet,2015,12,1,12_ambient light_ambient lighting_sensor ambient_light sensors
Alphabet,2015,13,2,13_power wirelessly_power transmitting_power receiving_transmitting power
Alphabet,2015,15,1,15_voice activated_voice commands_speech recognition_voice guidance
Alphabet,2015,17,1,17_thread scheduling_thread scheduler_multiprocessor_cores
Alphabet,2015,24,1,24_messages processing_processing core_processing cores_chip architecture
Alphabet,2015,25,1,25_resource management_datacenter power_datacenter_physical resource
Alphabet,2015,27,2,27_display processing_image display_processing display_managing display
