year,topic,count,topic_label
2010,0,61,0_transmit_radio_monitoring_frequency
2010,1,1,1_sensors detecting_lidar_detecting_onboard sensors
2010,10,1,10_vorrichtung_verfahren zum_und_einer
2010,14,1,14_classifier_prediction using_machine learned_prediction model
2010,22,1,22_magnetically attached_magnetic_detect magnetic_magnetically
2011,0,66,0_transmit_radio_monitoring_frequency
2011,1,1,1_sensors detecting_lidar_detecting_onboard sensors
2011,2,1,2_navigation application_map_maps_mapping
2011,3,2,3_solar panel_solar panels_solar power_solar energy
2011,5,1,5_fuel cell_fuel cells_cell fuel_provide fuel
2011,9,1,9_layer material_forming layer_melt material_alloy
2011,14,2,14_classifier_prediction using_machine learned_prediction model
2011,19,1,19_nfc enabled_field nfc_low power_nfc
2012,0,105,0_transmit_radio_monitoring_frequency
2012,1,1,1_sensors detecting_lidar_detecting_onboard sensors
2012,3,6,3_solar panel_solar panels_solar power_solar energy
2012,17,1,17_audio receiver_audio recording_audio input_integrated audio
2012,22,1,22_magnetically attached_magnetic_detect magnetic_magnetically
2013,0,124,0_transmit_radio_monitoring_frequency
2013,1,3,1_sensors detecting_lidar_detecting_onboard sensors
2013,2,1,2_navigation application_map_maps_mapping
2013,3,6,3_solar panel_solar panels_solar power_solar energy
2013,7,1,7_automated fabrication_manufacturing process_machining_fabrication
2013,9,1,9_layer material_forming layer_melt material_alloy
2013,12,2,12_second robotic_robotic_robotic robotic_robotic control
2013,14,1,14_classifier_prediction using_machine learned_prediction model
2014,0,159,0_transmit_radio_monitoring_frequency
2014,1,2,1_sensors detecting_lidar_detecting_onboard sensors
2014,2,2,2_navigation application_map_maps_mapping
2014,3,1,3_solar panel_solar panels_solar power_solar energy
2014,4,3,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2014,5,2,5_fuel cell_fuel cells_cell fuel_provide fuel
2014,7,2,7_automated fabrication_manufacturing process_machining_fabrication
2014,13,1,13_tethered aerial_energy aerial_wind turbine_wind energy
2014,14,1,14_classifier_prediction using_machine learned_prediction model
2015,0,222,0_transmit_radio_monitoring_frequency
2015,1,4,1_sensors detecting_lidar_detecting_onboard sensors
2015,2,8,2_navigation application_map_maps_mapping
2015,3,2,3_solar panel_solar panels_solar power_solar energy
2015,4,4,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2015,5,3,5_fuel cell_fuel cells_cell fuel_provide fuel
2015,7,4,7_automated fabrication_manufacturing process_machining_fabrication
2015,12,2,12_second robotic_robotic_robotic robotic_robotic control
2015,13,4,13_tethered aerial_energy aerial_wind turbine_wind energy
2015,17,2,17_audio receiver_audio recording_audio input_integrated audio
2015,22,1,22_magnetically attached_magnetic_detect magnetic_magnetically
2016,0,252,0_transmit_radio_monitoring_frequency
2016,1,2,1_sensors detecting_lidar_detecting_onboard sensors
2016,2,9,2_navigation application_map_maps_mapping
2016,3,1,3_solar panel_solar panels_solar power_solar energy
2016,4,6,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2016,5,1,5_fuel cell_fuel cells_cell fuel_provide fuel
2016,10,1,10_vorrichtung_verfahren zum_und_einer
2016,12,2,12_second robotic_robotic_robotic robotic_robotic control
2016,13,4,13_tethered aerial_energy aerial_wind turbine_wind energy
2016,15,1,15_uav charge_vehicles uavs_battery uav_vehicle uav
2016,16,1,16_neural programs_trained neural_deep neural_learning models
2016,17,1,17_audio receiver_audio recording_audio input_integrated audio
2016,18,1,18_propellers aerial_rotor blades_blades aerial_generated aerial
2016,19,1,19_nfc enabled_field nfc_low power_nfc
2016,20,1,20_operating voltages_operating voltage_voltage control_voltage adjustment
2016,22,1,22_magnetically attached_magnetic_detect magnetic_magnetically
2017,0,287,0_transmit_radio_monitoring_frequency
2017,1,3,1_sensors detecting_lidar_detecting_onboard sensors
2017,3,3,3_solar panel_solar panels_solar power_solar energy
2017,4,2,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2017,5,3,5_fuel cell_fuel cells_cell fuel_provide fuel
2017,6,3,6_sem fio_digital_para_fio
2017,7,1,7_automated fabrication_manufacturing process_machining_fabrication
2017,8,4,8_propeller blades_propellers_propellers aerial_generated propeller
2017,9,2,9_layer material_forming layer_melt material_alloy
2017,10,3,10_vorrichtung_verfahren zum_und_einer
2017,12,2,12_second robotic_robotic_robotic robotic_robotic control
2017,16,2,16_neural programs_trained neural_deep neural_learning models
2017,20,1,20_operating voltages_operating voltage_voltage control_voltage adjustment
2018,0,238,0_transmit_radio_monitoring_frequency
2018,1,3,1_sensors detecting_lidar_detecting_onboard sensors
2018,3,1,3_solar panel_solar panels_solar power_solar energy
2018,4,2,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2018,6,4,6_sem fio_digital_para_fio
2018,7,4,7_automated fabrication_manufacturing process_machining_fabrication
2018,8,3,8_propeller blades_propellers_propellers aerial_generated propeller
2018,9,2,9_layer material_forming layer_melt material_alloy
2018,14,1,14_classifier_prediction using_machine learned_prediction model
2018,19,1,19_nfc enabled_field nfc_low power_nfc
2018,21,1,21_controlling lighting_lighting_lighting source_controlled power
2019,0,266,0_transmit_radio_monitoring_frequency
2019,1,6,1_sensors detecting_lidar_detecting_onboard sensors
2019,2,1,2_navigation application_map_maps_mapping
2019,3,2,3_solar panel_solar panels_solar power_solar energy
2019,4,3,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2019,5,2,5_fuel cell_fuel cells_cell fuel_provide fuel
2019,6,2,6_sem fio_digital_para_fio
2019,7,3,7_automated fabrication_manufacturing process_machining_fabrication
2019,8,5,8_propeller blades_propellers_propellers aerial_generated propeller
2019,9,1,9_layer material_forming layer_melt material_alloy
2019,14,1,14_classifier_prediction using_machine learned_prediction model
2019,17,2,17_audio receiver_audio recording_audio input_integrated audio
2019,18,1,18_propellers aerial_rotor blades_blades aerial_generated aerial
2019,19,2,19_nfc enabled_field nfc_low power_nfc
2019,20,4,20_operating voltages_operating voltage_voltage control_voltage adjustment
2019,21,3,21_controlling lighting_lighting_lighting source_controlled power
2019,22,3,22_magnetically attached_magnetic_detect magnetic_magnetically
2020,0,244,0_transmit_radio_monitoring_frequency
2020,1,5,1_sensors detecting_lidar_detecting_onboard sensors
2020,3,1,3_solar panel_solar panels_solar power_solar energy
2020,4,4,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2020,5,1,5_fuel cell_fuel cells_cell fuel_provide fuel
2020,6,2,6_sem fio_digital_para_fio
2020,7,2,7_automated fabrication_manufacturing process_machining_fabrication
2020,8,1,8_propeller blades_propellers_propellers aerial_generated propeller
2020,9,1,9_layer material_forming layer_melt material_alloy
2020,10,2,10_vorrichtung_verfahren zum_und_einer
2020,11,1,11_radar_second radar_gesture application_gestures
2020,15,1,15_uav charge_vehicles uavs_battery uav_vehicle uav
2020,18,5,18_propellers aerial_rotor blades_blades aerial_generated aerial
2020,19,1,19_nfc enabled_field nfc_low power_nfc
2020,20,1,20_operating voltages_operating voltage_voltage control_voltage adjustment
2020,21,1,21_controlling lighting_lighting_lighting source_controlled power
2021,0,231,0_transmit_radio_monitoring_frequency
2021,1,5,1_sensors detecting_lidar_detecting_onboard sensors
2021,2,1,2_navigation application_map_maps_mapping
2021,3,3,3_solar panel_solar panels_solar power_solar energy
2021,4,3,4_power aerial_aerial vehicle_aerial vehicles_wind turbine
2021,5,3,5_fuel cell_fuel cells_cell fuel_provide fuel
2021,6,2,6_sem fio_digital_para_fio
2021,7,1,7_automated fabrication_manufacturing process_machining_fabrication
2021,8,2,8_propeller blades_propellers_propellers aerial_generated propeller
2021,10,3,10_vorrichtung_verfahren zum_und_einer
2021,11,4,11_radar_second radar_gesture application_gestures
2021,12,1,12_second robotic_robotic_robotic robotic_robotic control
