company,year,y02_patents
Alphabet,2010,1
Alphabet,2011,13
Alphabet,2012,40
Alphabet,2013,45
Alphabet,2014,40
Alphabet,2015,106
Alphabet,2016,110
Alphabet,2017,92
Alphabet,2018,77
Alphabet,2019,69
Alphabet,2020,55
Alphabet,2021,67
Alphabet,2022,64
Alphabet,2023,37
Alphabet,2024,36
Amazon,2010,2
Amazon,2011,0
Amazon,2012,5
Amazon,2013,14
Amazon,2014,14
Amazon,2015,29
Amazon,2016,44
Amazon,2017,52
Amazon,2018,40
Amazon,2019,61
Amazon,2020,44
Amazon,2021,38
Amazon,2022,32
Amazon,2023,9
Amazon,2024,3
Apple,2010,26
Apple,2011,37
Apple,2012,57
Apple,2013,78
Apple,2014,106
Apple,2015,152
Apple,2016,190
Apple,2017,172
Apple,2018,142
Apple,2019,147
Apple,2020,178
Apple,2021,189
Apple,2022,143
Apple,2023,158
Apple,2024,216
Meta,2010,0
Meta,2011,0
Meta,2012,1
Meta,2013,1
Meta,2014,4
Meta,2015,14
Meta,2016,11
Meta,2017,8
Meta,2018,10
Meta,2019,20
Meta,2020,13
Meta,2021,20
Meta,2022,17
Meta,2023,40
Meta,2024,18
Microsoft,2010,62
Microsoft,2011,49
Microsoft,2012,47
Microsoft,2013,39
Microsoft,2014,68
Microsoft,2015,58
Microsoft,2016,58
Microsoft,2017,71
Microsoft,2018,80
Microsoft,2019,107
Microsoft,2020,67
Microsoft,2021,52
Microsoft,2022,32
Microsoft,2023,34
Microsoft,2024,26
