lens_id,company,title,date_published,publication_type,patent_status,classification,npl_count,n_jurisdictions,jurisdictions,filter_path,kept
024-109-004-928-464,alphabet,ZUKUNFTSVORHERSAGE MITTELS STOCHASTISCHER KONTRADIKTORISCHER ABTASTUNG FÜR ROBOTERSTEUERUNG,2025-12-31,GRANTED_PATENT,ACTIVE,other,1,3,"EP, US, WO",filtered_keep,True
042-809-689-680-288,alphabet,VERFAHREN ZUR VERWALTUNG DER ERREICHBARKEIT EINES BENUTZERGERÄTS IN EINEM NICHT TERRESTRISCHEN NETZWERK,2025-12-31,PATENT_APPLICATION,PENDING,dual_purpose,1,4,"AU, CN, EP, WO",filtered_keep,True
123-129-228-295-720,alphabet,HOTWORD-ERKENNUNG UND PASSIVE ASSISTENZ,2025-12-31,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
185-331-664-152-943,alphabet,LEISTUNGSEFFIZIENTE DATENLENKUNG,2025-12-24,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
126-065-426-734-981,alphabet,Enhanced cell reselection procedure supporting network energy conservation,2025-12-19,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
082-449-890-588-218,alphabet,Managing data communications to save power,2025-12-19,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
111-639-940-653-995,alphabet,POWER EFFICIENT DATA ROUTING,2025-12-18,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
162-867-518-325-78X,alphabet,Multi-word multiplier with symbols,2025-12-16,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
109-844-332-551-478,alphabet,Low H-Field Tab Configuration for a Cylindrical-Winding Battery,2025-12-11,PATENT_APPLICATION,PENDING,other,0,,,removed,False
063-974-253-351-361,alphabet,THREAD ÜBER INTERNETPROTOKOLL,2025-12-10,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
094-126-291-499-378,alphabet,VERWENDUNG MOBILER DATEN ZUR VERBESSERUNG VON WETTERINFORMATIONEN,2025-12-10,GRANTED_PATENT,ACTIVE,pure,,,,pure_auto_keep,True
134-355-025-715-005,alphabet,AUTHENTICATION MANAGEMENT VIA IMU AND RADAR,2025-12-09,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
053-108-754-330-637,alphabet,Efficient datacenter energy management based on compute capacity and fleet management,2025-12-09,GRANTED_PATENT,ACTIVE,dual_purpose,1,2,"EP, US",filtered_keep,True
011-526-143-964-460,alphabet,"Verwenden einer Anwendereingabe, um Suchergebnisse, die für die Darstellung für den Anwender bereitgestellt werden, anzu",2025-12-04,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
168-048-205-147-336,alphabet,Gesichtsmerkmalserfassung,2025-12-04,GRANTED_PATENT,ACTIVE,other,1,6,"AU, CN, DE, GB, KR, US",filtered_keep,True
155-929-381-564-620,alphabet,PHYSICS-INFORMED OPTIMIZATION FOR AUTONOMOUS DRIVING SYSTEMS,2025-12-04,PATENT_APPLICATION,PENDING,other,0,,,removed,False
179-574-470-282-992,alphabet,GESTENGESTEUERTE ERWEITERTE REALITÄT,2025-12-03,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
131-519-965-612-195,alphabet,Method and device for Thread over Internet Protocol,2025-12-02,GRANTED_PATENT,ACTIVE,dual_purpose,8,8,"AU, CA, CN, EP, JP, KR, US, WO",filtered_keep,True
146-562-579-483-012,alphabet,네트워크 에너지 절약을 지원하기 위한 향상된 핸드오버 절차,2025-12-02,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
196-789-617-969-575,alphabet,클록 게이트 트리,2025-12-02,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
110-220-356-437-872,alphabet,经由居家助手进行活动监视的系统、方法和设备,2025-11-28,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
189-615-558-951-506,alphabet,载具控制方法、系统和计算机可读介质,2025-11-28,PATENT_APPLICATION,PENDING,pure,,,,pure_auto_keep,True
125-063-731-415-703,alphabet,UAV-GRUPPENABRECHNUNG AUF DER GRUNDLAGE DER NACHFRAGE NACH UAV-DIENSTLEISTUNGEN,2025-11-26,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
030-715-455-148-042,alphabet,Automatic routing through electric vehicle charging stations,2025-11-25,GRANTED_PATENT,ACTIVE,other,2,6,"CN, EP, JP, KR, US, WO",filtered_keep,True
102-469-383-115-194,alphabet,STEUERUNG EINES HLK-SYSTEMS IN VERBINDUNG MIT EINEM NACHFRAGEREAKTIONSEREIGNIS,2025-11-19,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
003-999-790-784-407,alphabet,ADAPTIVES WI-FI-BAKEN-ÜBERSPRINGEN FÜR BATTERIEBETRIEBENE VORRICHTUNGEN,2025-11-19,SEARCH_REPORT,PENDING,dual_purpose,0,,,removed,False
078-668-067-823-627,alphabet,Adaptive power management for AI/ML accelerators,2025-11-16,PATENT_OF_ADDITION,PENDING,dual_purpose,0,,,removed,False
000-903-992-405-526,alphabet,SOFTWARE-MANAGED BUFFER SHARING BETWEEN MULTIPLE CONTEXTS,2025-11-13,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
173-244-451-947-725,alphabet,Method of temperature conditioning compute module for cold start,2025-11-11,GRANTED_PATENT,ACTIVE,dual_purpose,1,1,US,removed,False
