company,year,total_patents
Alphabet,2010,1291
Alphabet,2011,1786
Alphabet,2012,3517
Alphabet,2013,4908
Alphabet,2014,7256
Alphabet,2015,9268
Alphabet,2016,8786
Alphabet,2017,10216
Alphabet,2018,10171
Alphabet,2019,9317
Alphabet,2020,9811
Alphabet,2021,9593
Alphabet,2022,9318
Alphabet,2023,10240
Alphabet,2024,11012
Amazon,2010,249
Amazon,2011,345
Amazon,2012,585
Amazon,2013,934
Amazon,2014,1736
Amazon,2015,2496
Amazon,2016,3076
Amazon,2017,3561
Amazon,2018,3464
Amazon,2019,3852
Amazon,2020,3689
Amazon,2021,2995
Amazon,2022,2765
Amazon,2023,2447
Amazon,2024,2292
Apple,2010,2572
Apple,2011,3313
Apple,2012,5120
Apple,2013,7219
Apple,2014,8367
Apple,2015,7892
Apple,2016,8889
Apple,2017,7856
Apple,2018,7473
Apple,2019,8255
Apple,2020,9517
Apple,2021,9528
Apple,2022,9793
Apple,2023,12022
Apple,2024,13414
Meta,2010,53
Meta,2011,55
Meta,2012,215
Meta,2013,594
Meta,2014,1380
Meta,2015,1705
Meta,2016,2354
Meta,2017,2946
Meta,2018,2670
Meta,2019,3294
Meta,2020,2931
Meta,2021,3082
Meta,2022,3008
Meta,2023,3184
Meta,2024,2062
Microsoft,2010,10767
Microsoft,2011,10259
Microsoft,2012,12312
Microsoft,2013,11583
Microsoft,2014,12772
Microsoft,2015,10716
Microsoft,2016,12799
Microsoft,2017,12883
Microsoft,2018,11134
Microsoft,2019,11466
Microsoft,2020,10120
Microsoft,2021,9023
Microsoft,2022,8077
Microsoft,2023,8088
Microsoft,2024,8064
