parent_company,subsidiary_name,reason_for_inclusion
Meta,WhatsApp LLC,Messaging Infrastructure
Meta,Facebook Holdings LLC 
Meta,Facebook Procurement LLC 
Meta,FCL Tech Limited,  
Meta,Instagram LLC 
Meta,Meta Payments Inc, 
Meta,Meta Platforms Ireland Limited, 
Meta,Siculus LLC, 
Meta,Sidecat LLC, 
Amazon,Amazon Technologies Inc,Core AWS and Software Patents
Amazon,Amazon Data Services Inc,Energy and Data Center Infrastructure
Amazon,Amazon Web Services Inc, 
Amazon,Amazon US Services LLC, 
Amazon,Amazon.com Services LLC, 
Amazon,Amazon.com Sales Inc, 
Amazon,Amazon.com NV Investment Holdings LLC,
Amazon,A100 ROW Inc, 
Amazon,Day One Insurance Inc, 
