parent_company,subsidiary_name,jurisdiction,source
Alphabet,Google LLC,Delaware,SEC Exhibit 21.1
Alphabet,XXVI Holdings Inc.,Delaware,SEC Exhibit 21.1
Alphabet,Alphabet Capital US LLC,Delaware,SEC Exhibit 21.1
Alphabet,Google Ireland Holdings,Ireland,SEC Exhibit 21.1
Alphabet,KHA Technologies Inc.,Delaware,SEC Exhibit 21.1
Alphabet,Google Inc.,Delaware,SEC Exhibit 21.1
Amazon,Legal Name,Jurisdiction,SEC Exhibit 21.1
Amazon,Amazon.com Services LLC,Delaware,SEC Exhibit 21.1
Amazon,Amazon.com Sales Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon Data Services Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon Web Services Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon Technologies Inc.,Nevada,SEC Exhibit 21.1
Amazon,Amazon.com NV Investment Holdings LLC,Nevada,SEC Exhibit 21.1
Amazon,Amazon US Services LLC,Delaware,SEC Exhibit 21.1
Amazon,A100 ROW Inc.,Delaware,SEC Exhibit 21.1
Amazon,Day One Insurance Inc.,Arizona,SEC Exhibit 21.1
Amazon,Amazon Overseas Holdings Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon Services LLC,Nevada,SEC Exhibit 21.1
Amazon,Amazon Digital Services LLC,Delaware,SEC Exhibit 21.1
Amazon,Amazon.com Services Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon.com Int’l Sales Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon EU S.à r.l.,Luxembourg,SEC Exhibit 21.1
Amazon,Amazon Fulfillment Services Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon Services International Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon Corporate LLC,Delaware,SEC Exhibit 21.1
Amazon,Amazon.com LLC,Delaware,SEC Exhibit 21.1
Amazon,Amazon Europe Holding Technologies SCS,Luxembourg,SEC Exhibit 21.1
Amazon,Amazon Digital Services Inc.,Delaware,SEC Exhibit 21.1
Amazon,Amazon EU S.à.r.l.,Luxembourg,SEC Exhibit 21.1
Amazon,Seller’s Initials:,Purchaser’s Initials:,SEC Exhibit 21.1
Amazon,As to Seller:,[VARIES] LLC c/o Vulcan Inc. 505 Fifth Avenue South Suite 900 Seattle WA 98104-3821 Attention: Facsimile: Email:,SEC Exhibit 21.1
Amazon,With concurrent copies to:,Foster Pepper PLLC 1111 Third Avenue Suite 3400 Seattle Washington 98101 Attention: Facsimile: Email:,SEC Exhibit 21.1
Amazon,As to Purchaser:,Acorn Development LLC c/o Amazon.com Inc. 410 Terry Avenue North Seattle Washington 98109-5210 Attention: Facsimile: Email:,SEC Exhibit 21.1
Amazon,Attention: Facsimile: Email:,,SEC Exhibit 21.1
Amazon,And to Van Ness Feldman GordonDerr Millennium Tower 719 Second Avenue Suite 1150 Seattle Washington 98104 Attention: Facsimile: Email:,,SEC Exhibit 21.1
Amazon,As to Escrow Agent:,First American Title Insurance Company 818 Stewart Street Suite 800 Seattle Washington 98101 Attention: Facsimile: Email:,SEC Exhibit 21.1
Amazon,SELLER: [VARIES]8 LLC a Washington limited liability company,,SEC Exhibit 21.1
Amazon,By:,,SEC Exhibit 21.1
Amazon,Title:,,SEC Exhibit 21.1
Amazon,Date:,,SEC Exhibit 21.1
Amazon,PURCHASER:,,SEC Exhibit 21.1
Amazon,ACORN DEVELOPMENT LLC,,SEC Exhibit 21.1
Amazon,a Delaware limited liability company,,SEC Exhibit 21.1
Amazon,Schedule 1.3,–,SEC Exhibit 21.1
Amazon,Schedule 1.4,–,SEC Exhibit 21.1
Amazon,Schedule 1.5,–,SEC Exhibit 21.1
Amazon,Schedule 1.6,–,SEC Exhibit 21.1
Amazon,Schedule 1.10,–,SEC Exhibit 21.1
Amazon,Schedule 5.1.3,–,SEC Exhibit 21.1
Amazon,Schedule 5.1.7,–,SEC Exhibit 21.1
Amazon,Schedule 5.1.8,–,SEC Exhibit 21.1
Amazon,Schedule 8.5.8(i),–,SEC Exhibit 21.1
Amazon,Schedule 8.5.8(ii),–,SEC Exhibit 21.1
Amazon,Grantor:,[VARIES] LLC a Washington limited liability company,SEC Exhibit 21.1
Amazon,Grantee:,,SEC Exhibit 21.1
Amazon,Abbreviated Legal Description:,Complete legal description on Exhibit A,SEC Exhibit 21.1
