parent_company,subsidiary_name,source,reason
Alphabet,Google LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Alphabet,XXVI Holdings Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Alphabet,Alphabet Capital US LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Alphabet,Google Ireland Holdings,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Alphabet,KHA Technologies Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Alphabet,Google Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Legal Name,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Jurisdiction
Amazon,Amazon.com Services LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon.com Sales Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Data Services Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Web Services Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Technologies Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Nevada
Amazon,Amazon.com NV Investment Holdings LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Nevada
Amazon,Amazon US Services LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,A100 ROW Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Day One Insurance Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Arizona
Amazon,Amazon Overseas Holdings Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Services LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Nevada
Amazon,Amazon Digital Services LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon.com Services Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon.com Int’l Sales Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon EU S.à r.l.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Luxembourg
Amazon,Amazon Fulfillment Services Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Services International Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Corporate LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon.com LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Europe Holding Technologies SCS,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Luxembourg
Amazon,Amazon Digital Services Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon EU S.à.r.l.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Luxembourg
Amazon,Seller’s Initials:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Purchaser’s Initials:
Amazon,As to Seller:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — [VARIES] LLC c/o Vulcan Inc. 505 Fifth Avenue South Suite 900 Seattle WA 98104-3821 Attention: Facsimile: Email:
Amazon,With concurrent copies to:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Foster Pepper PLLC 1111 Third Avenue Suite 3400 Seattle Washington 98101 Attention: Facsimile: Email:
Amazon,As to Purchaser:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Acorn Development LLC c/o Amazon.com Inc. 410 Terry Avenue North Seattle Washington 98109-5210 Attention: Facsimile: Email:
Amazon,Attention: Facsimile: Email:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,And to Van Ness Feldman GordonDerr Millennium Tower 719 Second Avenue Suite 1150 Seattle Washington 98104 Attention: Facsimile: Email:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,As to Escrow Agent:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — First American Title Insurance Company 818 Stewart Street Suite 800 Seattle Washington 98101 Attention: Facsimile: Email:
Amazon,SELLER: [VARIES]8 LLC a Washington limited liability company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,By:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Title:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Date:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,PURCHASER:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,ACORN DEVELOPMENT LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,a Delaware limited liability company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Schedule 1.3,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 1.4,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 1.5,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 1.6,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 1.10,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 5.1.3,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 5.1.7,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 5.1.8,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 8.5.8(i),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Schedule 8.5.8(ii),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — –
Amazon,Grantor:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — [VARIES] LLC a Washington limited liability company
Amazon,Grantee:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Abbreviated Legal Description:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Complete legal description on Exhibit A
Amazon,Assessor’s Tax Parcel No.:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,(Signature of Notary),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,(Legibly Print or Stamp Name of Notary),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Notary public in and for the state of Washington residing at,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,My appointment expires,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,SELLER:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — [VARIES] LLC a Washington limited liability company
Amazon,ASSIGNOR:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — [VARIES] LLC a Washington limited liability company
Amazon,ASSIGNEE:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,VIA OVERNIGHT COURIER AND HAND DELIVERED,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,TO:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — (“Tenant”)
Amazon,RE:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Notification Regarding Change of Ownership,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,ATTN:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,AT:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,City Investors LLC a Washington limited liability company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Print Name:,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Acorn Development LLC a Delaware limited liability company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,DATED THIS DAY OF  20 .,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Amazon,Amazon Global Resources Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
